,arima_order,mse
0,"(0, 1, 0)",0.00031079415582738976
1,"(0, 1, 1)",0.000174833407620509
2,"(0, 1, 2)",0.0001737540558225857
3,"(0, 1, 3)",0.00017253768842890303
4,"(0, 1, 4)",0.0001743817790695177
5,"(1, 1, 0)",0.00026781576099027104
6,"(1, 1, 1)",0.00017397265125897944
7,"(1, 1, 2)",0.00017952978976464712
8,"(1, 1, 3)",0.00017561249952670848
9,"(1, 1, 4)",0.00017352845286397377
10,"(2, 1, 0)",0.0002562021608526421
11,"(2, 1, 1)",0.00017265793528433714
12,"(2, 1, 2)",0.00017751804780195103
13,"(2, 1, 3)",0.00017568918312315851
14,"(2, 1, 4)",0.00017524685755225167
15,"(3, 1, 0)",0.00023000630042955118
16,"(3, 1, 1)",0.00017528579876217341
17,"(3, 1, 2)",0.00017321735965520048
18,"(3, 1, 3)",0.00017519487167502333
19,"(3, 1, 4)",0.00017321844359803707
20,"(4, 1, 0)",0.00021823876949302197
21,"(4, 1, 1)",0.00017590280536428166
22,"(4, 1, 2)",0.000178307329539121
23,"(4, 1, 3)",0.0001723082016262054
24,"(4, 1, 4)",0.00017524444431171233
